Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Arrecadacao_Total;Ganhadores_15_N��meros;Cidade;;Ganhadores_14_Números;Ganhadores_13_Números;Ganhadores_12_Números;Ganhadores_11_Números;Valor_Rateio_15_Números;Valor_Rateio_14_N��meros;Valor_Rateio_13_Números;Valor_Rateio_12_Números;Valor_Rateio_11_Números;Acumulado_15_Números;Estimativa_Premio;Valor_Acumulado_Especial
140;29/05/2006;1;2;3;6;9;10;12;13;15;18;19;20;22;24;25;0;7;;MS;787;22971;268181;1413296;210.217,72;801,34;10;4;2;0;0;0
141;05/06/2006;1;3;7;8;9;10;12;13;16;17;18;19;20;24;25;0;2;;MG;471;17588;247734;1532701;793.662,96;1.444,34;10;4;2;0;0;0
142;12/06/2006;1;2;4;5;6;7;9;15;16;17;18;19;22;23;24;0;1;;DF;373;15636;246926;1364705;1.692.224,96;1.944,35;10;4;2;0;0;0
143;19/06/2006;1;2;8;9;11;13;15;16;17;19;21;22;23;24;25;0;5;;BA;677;29324;326923;1643883;201.113,36;634,16;10;4;2;0;0;0
144;26/06/2006;1;2;4;7;9;11;12;14;17;19;20;21;22;24;25;0;36;;AL;3305;39042;295178;1379832;35.936,80;167,14;10;4;2;0;0;0
145;03/07/2006;1;2;3;9;10;11;13;14;15;17;18;20;22;24;25;0;3;;BA;815;30436;317461;1442001;395.268,82;621,2;10;4;2;0;0;0
146;10/07/2006;1;2;5;8;10;11;12;13;14;16;17;22;23;24;25;0;6;;BA;557;21375;302776;1519562;219.758,40;1.014,53;10;4;2;0;0;0
147;17/07/2006;1;2;4;5;6;10;11;12;13;16;19;21;22;23;25;0;3;;DF;624;25125;278315;1546507;472.583,65;973,73;10;4;2;0;0;0
148;24/07/2006;1;2;4;5;8;9;12;13;16;17;20;21;22;24;25;0;17;;AL;1024;23278;276551;1552055;84.381,14;598,09;10;4;2;0;0;0
149;01/08/2006;2;5;7;9;10;13;15;16;17;18;19;20;23;24;25;0;5;;RJ;616;22974;303309;1711630;235.870,42;820,52;10;4;2;0;0;0
